,experiment,episode,reward,step,epsilon
0,ddqn,0,577.0,147,0.22823046013534068
1,ddqn,1,617.0,258,0.07479631572685264
2,ddqn,2,230.0,298,0.05003662286632564
3,ddqn,3,230.0,338,0.03347308759177371
4,ddqn,4,701.0,589,0.01
5,ddqn,5,732.0,868,0.01
6,ddqn,6,1304.0,1122,0.01
7,ddqn,7,636.0,1280,0.01
8,ddqn,8,228.0,1324,0.01
9,ddqn,9,1038.0,1500,0.01
10,ddqn,10,249.0,1530,0.01
11,ddqn,11,250.0,1560,0.01
12,ddqn,12,249.0,1590,0.01
13,ddqn,13,250.0,1621,0.01
14,ddqn,14,249.0,1651,0.01
15,ddqn,15,252.0,1678,0.01
16,ddqn,16,252.0,1709,0.01
17,ddqn,17,250.0,1739,0.01
18,ddqn,18,250.0,1769,0.01
19,ddqn,19,248.0,1800,0.01
20,ddqn,20,248.0,1829,0.01
21,ddqn,21,250.0,1859,0.01
22,ddqn,22,250.0,1889,0.01
23,ddqn,23,250.0,1919,0.01
24,ddqn,24,249.0,1949,0.01
25,ddqn,25,248.0,1980,0.01
26,ddqn,26,250.0,2010,0.01
27,ddqn,27,250.0,2040,0.01
28,ddqn,28,251.0,2072,0.01
29,ddqn,29,252.0,2099,0.01
30,ddqn,30,239.0,2132,0.01
31,ddqn,31,248.0,2161,0.01
32,ddqn,32,250.0,2191,0.01
33,ddqn,33,250.0,2221,0.01
34,ddqn,34,248.0,2251,0.01
35,ddqn,35,250.0,2281,0.01
36,ddqn,36,251.0,2313,0.01
37,ddqn,37,248.0,2343,0.01
38,ddqn,38,250.0,2373,0.01
39,ddqn,39,249.0,2403,0.01
40,ddqn,40,250.0,2433,0.01
41,ddqn,41,249.0,2463,0.01
42,ddqn,42,249.0,2493,0.01
43,ddqn,43,250.0,2523,0.01
44,ddqn,44,635.0,2608,0.01
45,ddqn,45,248.0,2640,0.01
46,ddqn,46,248.0,2672,0.01
47,ddqn,47,251.0,2704,0.01
48,ddqn,48,629.0,2805,0.01
49,ddqn,49,249.0,2835,0.01
50,ddqn,50,248.0,2864,0.01
51,ddqn,51,249.0,2894,0.01
52,ddqn,52,248.0,2926,0.01
53,ddqn,53,249.0,2956,0.01
54,ddqn,54,249.0,2986,0.01
55,ddqn,55,249.0,3016,0.01
56,ddqn,56,249.0,3046,0.01
57,ddqn,57,249.0,3076,0.01
58,ddqn,58,249.0,3106,0.01
59,ddqn,59,248.0,3136,0.01
60,ddqn,60,636.0,3219,0.01
61,ddqn,61,248.0,3249,0.01
62,ddqn,62,251.0,3281,0.01
63,ddqn,63,248.0,3311,0.01
64,ddqn,64,249.0,3341,0.01
