,experiment,episode,reward,step,epsilon
187,noisy,187,630.0,11113,0
188,noisy,188,810.0,11281,0
189,noisy,189,969.0,11777,0
190,noisy,190,731.0,12249,0
191,noisy,191,639.0,12394,0
192,noisy,192,1423.0,12618,0
193,noisy,193,606.0,12752,0
194,noisy,194,638.0,12900,0
195,noisy,195,1033.0,13092,0
196,noisy,196,630.0,13174,0
197,noisy,197,1042.0,13311,0
198,noisy,198,636.0,13394,0
199,noisy,199,1311.0,13610,0
200,noisy,200,614.0,13698,0
201,noisy,201,601.0,13798,0
202,noisy,202,1148.0,13940,0
203,noisy,203,613.0,14033,0
204,noisy,204,631.0,14106,0
205,noisy,205,632.0,14185,0
206,noisy,206,611.0,14246,0
207,noisy,207,624.0,14319,0
208,noisy,208,743.0,14464,0
209,noisy,209,618.0,14534,0
210,noisy,210,611.0,14626,0
211,noisy,211,639.0,14769,0
212,noisy,212,595.0,14903,0
213,noisy,213,652.0,14978,0
214,noisy,214,1139.0,16048,0
215,noisy,215,616.0,16139,0
216,noisy,216,619.0,16224,0
217,noisy,217,760.0,16351,0
218,noisy,218,712.0,16586,0
219,noisy,219,797.0,16817,0
220,noisy,220,787.0,17099,0
221,noisy,221,635.0,17186,0
222,noisy,222,640.0,17325,0
223,noisy,223,631.0,17405,0
224,noisy,224,814.0,17552,0
225,noisy,225,1318.0,17729,0
226,noisy,226,631.0,17811,0
227,noisy,227,702.0,18048,0
228,noisy,228,600.0,18180,0
229,noisy,229,614.0,18270,0
230,noisy,230,781.0,18581,0
231,noisy,231,633.0,18658,0
232,noisy,232,615.0,18744,0
233,noisy,233,1057.0,20223,0
234,noisy,234,745.0,20332,0
235,noisy,235,629.0,20399,0
236,noisy,236,781.0,20711,0
237,noisy,237,761.0,21123,0
238,noisy,238,813.0,21273,0
239,noisy,239,614.0,21416,0
240,noisy,240,606.0,21505,0
241,noisy,241,722.0,21620,0
242,noisy,242,1272.0,22046,0
243,noisy,243,610.0,22112,0
244,noisy,244,797.0,22346,0
245,noisy,245,780.0,22483,0
246,noisy,246,1363.0,22990,0
247,noisy,247,807.0,23174,0
248,noisy,248,1407.0,23442,0
249,noisy,249,1394.0,23823,0
250,noisy,250,810.0,23991,0
251,noisy,251,631.0,24080,0
252,noisy,252,1296.0,24322,0
253,noisy,253,619.0,24393,0
254,noisy,254,809.0,24568,0
255,noisy,255,602.0,24669,0
256,noisy,256,675.0,25131,0
257,noisy,257,632.0,25221,0
258,noisy,258,619.0,25307,0
259,noisy,259,1134.0,25530,0
260,noisy,260,639.0,25672,0
261,noisy,261,784.0,25971,0
262,noisy,262,817.0,26104,0
263,noisy,263,633.0,26179,0
264,noisy,264,731.0,26340,0
265,noisy,265,628.0,26537,0
266,noisy,266,581.0,26653,0
