,experiment,episode,reward,step,epsilon
137,prioritized,137,248.0,15155,0.01
138,prioritized,138,627.0,15257,0.01
139,prioritized,139,1284.0,15735,0.01
140,prioritized,140,630.0,15817,0.01
141,prioritized,141,1199.0,17117,0.01
142,prioritized,142,800.0,17333,0.01
143,prioritized,143,249.0,17363,0.01
144,prioritized,144,215.0,17407,0.01
145,prioritized,145,1315.0,17708,0.01
146,prioritized,146,1043.0,17854,0.01
147,prioritized,147,249.0,17884,0.01
148,prioritized,148,610.0,17954,0.01
149,prioritized,149,638.0,18102,0.01
150,prioritized,150,1318.0,18363,0.01
151,prioritized,151,610.0,18427,0.01
152,prioritized,152,1309.0,18650,0.01
153,prioritized,153,1041.0,18814,0.01
154,prioritized,154,617.0,18898,0.01
155,prioritized,155,250.0,18925,0.01
156,prioritized,156,609.0,19038,0.01
157,prioritized,157,640.0,19177,0.01
158,prioritized,158,231.0,19214,0.01
159,prioritized,159,232.0,19247,0.01
160,prioritized,160,249.0,19274,0.01
161,prioritized,161,600.0,19407,0.01
162,prioritized,162,634.0,19496,0.01
163,prioritized,163,622.0,19568,0.01
164,prioritized,164,1318.0,19747,0.01
165,prioritized,165,617.0,19832,0.01
166,prioritized,166,614.0,19952,0.01
167,prioritized,167,232.0,19988,0.01
168,prioritized,168,252.0,20015,0.01
169,prioritized,169,613.0,20104,0.01
170,prioritized,170,252.0,20131,0.01
171,prioritized,171,610.0,20196,0.01
172,prioritized,172,602.0,20333,0.01
173,prioritized,173,1058.0,20515,0.01
174,prioritized,174,801.0,20645,0.01
175,prioritized,175,633.0,20739,0.01
176,prioritized,176,637.0,20814,0.01
177,prioritized,177,609.0,20962,0.01
178,prioritized,178,603.0,21110,0.01
179,prioritized,179,247.0,21137,0.01
180,prioritized,180,754.0,21267,0.01
181,prioritized,181,244.0,21296,0.01
182,prioritized,182,251.0,21323,0.01
183,prioritized,183,248.0,21350,0.01
184,prioritized,184,615.0,21424,0.01
185,prioritized,185,252.0,21451,0.01
186,prioritized,186,640.0,21525,0.01
187,prioritized,187,252.0,21552,0.01
188,prioritized,188,246.0,21579,0.01
189,prioritized,189,630.0,21663,0.01
190,prioritized,190,235.0,21697,0.01
191,prioritized,191,248.0,21725,0.01
192,prioritized,192,251.0,21752,0.01
193,prioritized,193,248.0,21779,0.01
194,prioritized,194,632.0,21863,0.01
195,prioritized,195,247.0,21891,0.01
196,prioritized,196,608.0,21959,0.01
197,prioritized,197,1026.0,22189,0.01
198,prioritized,198,739.0,22307,0.01
199,prioritized,199,252.0,22334,0.01
200,prioritized,200,1017.0,22630,0.01
201,prioritized,201,247.0,22664,0.01
202,prioritized,202,637.0,22818,0.01
203,prioritized,203,252.0,22845,0.01
204,prioritized,204,589.0,23052,0.01
205,prioritized,205,251.0,23080,0.01
206,prioritized,206,242.0,23110,0.01
207,prioritized,207,813.0,23264,0.01
208,prioritized,208,251.0,23292,0.01
209,prioritized,209,938.0,24009,0.01
210,prioritized,210,635.0,24082,0.01
211,prioritized,211,627.0,24193,0.01
212,prioritized,212,246.0,24220,0.01
213,prioritized,213,1025.0,24459,0.01
214,prioritized,214,606.0,24611,0.01
215,prioritized,215,246.0,24638,0.01
216,prioritized,216,609.0,24711,0.01
217,prioritized,217,615.0,24793,0.01
218,prioritized,218,249.0,24820,0.01
219,prioritized,219,616.0,24892,0.01
220,prioritized,220,1334.0,25104,0.01
221,prioritized,221,1658.0,25521,0.01
222,prioritized,222,251.0,25548,0.01
223,prioritized,223,252.0,25575,0.01
224,prioritized,224,233.0,25608,0.01
225,prioritized,225,249.0,25635,0.01
226,prioritized,226,1921.0,25889,0.01
227,prioritized,227,251.0,25916,0.01
228,prioritized,228,1017.0,26190,0.01
229,prioritized,229,251.0,26217,0.01
230,prioritized,230,251.0,26244,0.01
231,prioritized,231,1055.0,26428,0.01
232,prioritized,232,251.0,26455,0.01
233,prioritized,233,510.0,27067,0.01
234,prioritized,234,1019.0,27323,0.01
235,prioritized,235,248.0,27350,0.01
236,prioritized,236,252.0,27377,0.01
237,prioritized,237,246.0,27406,0.01
238,prioritized,238,251.0,27433,0.01
239,prioritized,239,1021.0,27728,0.01
240,prioritized,240,791.0,27990,0.01
241,prioritized,241,624.0,28206,0.01
242,prioritized,242,641.0,28339,0.01
243,prioritized,243,605.0,28446,0.01
244,prioritized,244,629.0,28524,0.01
245,prioritized,245,615.0,28597,0.01
246,prioritized,246,1798.0,29117,0.01
247,prioritized,247,1316.0,29299,0.01
248,prioritized,248,1338.0,29492,0.01
249,prioritized,249,630.0,29677,0.01
250,prioritized,250,252.0,29704,0.01
251,prioritized,251,1422.0,29897,0.01
252,prioritized,252,1049.0,30047,0.01
253,prioritized,253,1674.0,30364,0.01
254,prioritized,254,1315.0,30605,0.01
255,prioritized,255,248.0,30633,0.01
256,prioritized,256,252.0,30660,0.01
257,prioritized,257,252.0,30687,0.01
258,prioritized,258,625.0,30779,0.01
259,prioritized,259,616.0,30848,0.01
260,prioritized,260,602.0,30946,0.01
261,prioritized,261,621.0,31095,0.01
262,prioritized,262,765.0,31240,0.01
263,prioritized,263,1021.0,31493,0.01
264,prioritized,264,612.0,31570,0.01
265,prioritized,265,252.0,31597,0.01
266,prioritized,266,638.0,31742,0.01
267,prioritized,267,245.0,31769,0.01
268,prioritized,268,608.0,31844,0.01
269,prioritized,269,1032.0,32146,0.01
270,prioritized,270,772.0,32326,0.01
271,prioritized,271,614.0,32404,0.01
272,prioritized,272,1029.0,32600,0.01
273,prioritized,273,249.0,32627,0.01
274,prioritized,274,634.0,32712,0.01
275,prioritized,275,1324.0,32897,0.01
276,prioritized,276,633.0,32978,0.01
277,prioritized,277,239.0,33009,0.01
278,prioritized,278,620.0,33086,0.01
279,prioritized,279,610.0,33160,0.01
280,prioritized,280,250.0,33187,0.01
281,prioritized,281,1297.0,33593,0.01
282,prioritized,282,223.0,33629,0.01
283,prioritized,283,617.0,33704,0.01
284,prioritized,284,633.0,33786,0.01
285,prioritized,285,249.0,33813,0.01
286,prioritized,286,803.0,34017,0.01
287,prioritized,287,698.0,34286,0.01
288,prioritized,288,1323.0,34550,0.01
289,prioritized,289,809.0,34722,0.01
290,prioritized,290,252.0,34749,0.01
291,prioritized,291,225.0,34785,0.01
292,prioritized,292,252.0,34812,0.01
293,prioritized,293,237.0,34844,0.01
294,prioritized,294,629.0,34943,0.01
295,prioritized,295,249.0,34970,0.01
296,prioritized,296,249.0,34997,0.01
297,prioritized,297,733.0,35195,0.01
298,prioritized,298,245.0,35230,0.01
299,prioritized,299,604.0,35322,0.01
300,prioritized,300,1419.0,35524,0.01
301,prioritized,301,251.0,35551,0.01
302,prioritized,302,613.0,35697,0.01
303,prioritized,303,614.0,35841,0.01
304,prioritized,304,1294.0,36135,0.01
305,prioritized,305,607.0,36278,0.01
306,prioritized,306,639.0,36421,0.01
307,prioritized,307,248.0,36448,0.01
308,prioritized,308,639.0,36592,0.01
309,prioritized,309,610.0,36659,0.01
310,prioritized,310,612.0,36730,0.01
311,prioritized,311,990.0,37201,0.01
312,prioritized,312,245.0,37229,0.01
313,prioritized,313,252.0,37256,0.01
314,prioritized,314,799.0,37477,0.01
315,prioritized,315,588.0,37695,0.01
316,prioritized,316,810.0,37862,0.01
317,prioritized,317,633.0,37957,0.01
318,prioritized,318,248.0,37984,0.01
319,prioritized,319,1022.0,38269,0.01
320,prioritized,320,653.0,38342,0.01
321,prioritized,321,792.0,38601,0.01
322,prioritized,322,772.0,38758,0.01
323,prioritized,323,225.0,38795,0.01
324,prioritized,324,604.0,38922,0.01
325,prioritized,325,816.0,39059,0.01
326,prioritized,326,248.0,39086,0.01
327,prioritized,327,629.0,39279,0.01
328,prioritized,328,635.0,39363,0.01
329,prioritized,329,817.0,39494,0.01
330,prioritized,330,1405.0,39784,0.01
331,prioritized,331,248.0,39811,0.01
332,prioritized,332,627.0,39898,0.01
333,prioritized,333,765.0,40046,0.01
334,prioritized,334,600.0,40185,0.01
335,prioritized,335,248.0,40212,0.01
336,prioritized,336,252.0,40241,0.01
337,prioritized,337,241.0,40271,0.01
338,prioritized,338,238.0,40303,0.01
339,prioritized,339,250.0,40330,0.01
340,prioritized,340,248.0,40357,0.01
341,prioritized,341,1682.0,40592,0.01
342,prioritized,342,652.0,40669,0.01
